,,Close to source/first,,Far from source/second,,,,,,,,Calibrating,Measuring pixel locations of points on Petri dish ,,
Time,Frame,x,y,x,y,Thickness of track (1-5),Notes,Mag (calculate),Mag (cm),Pixels to cm,,Width of Petri dish (between measured points),x,y,
0,0,-196,35,50,-185,5,beta,330.0242415,2.292344181,143.968015,,6.5,-712.2,-82.6,Left point
0.867,26,-218,53,-206,95,2,alpha,43.68065934,0.3034053038,,,,192,158.5,Right point
1.868,56,-220,43,-154,153,2,beta,128.2809417,0.8910377883,,,,904.2,241.1,Don't edit!
2.668,80,-222,35,78,-227,2,alpha,398.3013934,2.766596409,,,,817577.64,58129.21,Don't edit!
3.87,116,-284,35,-176,117,3,beta,135.6023599,0.9418922657,,,,935.7920976,,
4.27,128,-218,47,-146,131,2,alpha,110.6345335,0.7684660615,,,,,,
4.737,142,-202,53,-122,193,1,beta,161.245155,1.120006794,,,,,,
4.737,142,-226,53,-242,227,3,alpha,174.7340837,1.213700721,,,,,,
5.438,163,-240,17,-390,-131,2,alpha,210.7225664,1.463676264,,,,,,
5.438,163,-322,-39,-460,-129,2,beta,164.7543626,1.144381706,,,,,,
6.372,191,-254,25,-330,-29,1,alpha,93.23089617,0.6475806182,,,,,,
6.873,206,-234,39,-310,17,1,alpha,79.12016178,0.5495676367,,,,,,
8.273,248,-234,19,-326,-275,1,beta,308.058436,2.139769976,,,,,,
8.775,263,-210,49,-128,149,3,alpha,129.3213053,0.8982641406,,,,,,
9.475,284,-234,55,-316,151,3,beta,126.2537128,0.8769566823,,,,,,
9.475,284,-220,47,-132,113,3,beta,110,0.7640586,,,,,,
9.475,284,-210,23,-166,5,3,beta,47.5394573,0.3302084653,,,,,,
10.142,304,-232,33,-352,-59,2,beta,151.2084654,1.050292076,,,,,,
10.643,319,-218,47,-136,115,2,alpha,106.5269919,0.7399351298,,,,,,
11.41,342,-222,53,-156,133,2,beta,103.7111373,0.7203762397,,,,,,
12.13,369,-206,61,-156,133,2,beta,87.658428,0.6088743252,,,,,,
12.845,385,-220,31,-138,-69,1,beta,129.3213053,0.8982641406,,,,,,
12.845,385,-244,15,-418,-171,1,beta,254.6998233,1.769141731,,,,,,
13.312,399,-224,61,-160,271,2,beta,219.5358741,1.524893387,,,,,,
13.312,399,-206,63,-154,141,2,beta,93.74433316,0.651146945,,,,,,
13.312,399,-190,53,-78,119,3,beta,130,0.9029783454,,,,,,
13.645,409,-218,15,-204,-297,1,beta,312.3139446,2.169328684,,,,,,
13.645,409,-236,-7,-292,-197,1,beta,198.0807916,1.375866657,,,,,,
14.547,436,-214,47,58,103,1,beta,277.7048793,1.928934557,,,,,,
15.313,459,-232,49,-208,201,2,beta,153.8830725,1.068869863,,,,,,
15.313,459,-220,65,-144,181,4,alpha,138.6794866,0.9632659488,,,,,,
15.313,459,-202,59,-112,131,3,beta,115.2562363,0.8005683502,,,,,,
15.313,459,-206,31,-134,61,3,beta,78,0.5417870073,,,,,,
17.115,513,-226,55,-220,213,2,beta,158.113883,1.098257019,,,,,,
17.115,513,-202,61,-138,129,2,beta,93.38094024,0.6486228224,,,,,,
17.848,535,-234,19,-338,-99,1,beta,157.2895419,1.092531156,,,,,,
17.848,535,-216,45,-154,97,2,beta,80.9197133,0.5620672987,,,,,,
18.517,555,-226,37,-46,-145,1,beta,255.9765614,1.778009938,,,,,,
19.283,578,-212,31,-130,-207,2,beta,251.7300141,1.748513474,,,,,,
19.883,597,-222,47,-176,135,2,beta,99.2975327,0.6897193983,,,,,,
20.485,614,-224,33,-212,-203,2,beta,236.3048878,1.641370743,,,,,,
20.885,626,-230,11,-274,-299,1,beta,313.1070105,2.17483731,,,,,,
20.885,626,-256,-31,-346,-211,1,beta,201.246118,1.397852974,,,,,,
20.885,626,-208,33,-56,61,4,alpha,154.5574327,1.07355396,,,,,,
