,,Close to source/first,,Far from source/second,,,,,,,,Calibrating,Measuring pixel locations of points on Petri dish ,,
Time,Frame,x,y,x,y,Thickness of track (1-10),Notes,Mag (calculate),Mag (cm),Pixels to cm,,Width of Petri dish (between measured points),x,y,
0,0,-270.4,12.88,-485,-193.1,1,beta,297.4574262,2.072955793,143.4943414,,6.5,-694.1,-69.06,Left point
0.467,14,-276.1,12.88,-439.2,-95.86,1,beta,196.0255024,1.366085244,,,,238.3,-44.89,Right point
0.833,25,-270.4,52.94,-299,196,2,alpha,145.8907934,1.016700673,,,,932.4,24.17,Don't edit!
1.602,48,-301.9,58.66,-444.9,164.5,1,alpha,177.907576,1.239822939,,,,869369.76,584.1889,Don't edit!
1.902,57,-259,1.431,-333.4,-147.4,1,beta,166.3911853,1.15956618,,,,932.713219,,
2.435,73,-184.6,21.46,-61.52,58.66,2,alpha,128.5788723,0.89605535,,,,,,
2.435,73,-256.1,38.63,-276.1,61.52,1,alpha,30.3965804,0.211831213,,,,,,
2.135,64,-270.4,12.88,-304.7,7.154,1,alpha,34.77466141,0.2423416915,,,,,,
2.97,89,-204.6,-4.292,-107.3,-198.9,1,beta,217.5765697,1.51627282,,,,,,
2.97,89,-201.7,44.35,-18.6,98.72,3,alpha,191.0018505,1.331075837,,,,,,
2.97,89,-121.6,101.6,-47.21,135.9,1,beta,81.91679986,0.5708712906,,,,,,
3.837,115,-244.6,30.04,-184.6,121.6,1,alpha,109.467957,0.7628729879,,,,,,
4.77,143,-247.5,7.154,-264.7,-38.63,1,beta,48.90822687,0.3408373208,,,,,,
4.77,143,-218.9,18.6,-167.4,4.292,1,beta,53.4506208,0.3724928822,,,,,,
4.77,143,-233.2,-4.292,-264.7,-84.41,1,beta,86.08800105,0.5999400409,,,,,,
5.172,155,-267.5,-1.431,-442.1,-147.4,4,beta,227.5787973,1.585977503,,,,,,
5.505,165,-244.6,-41.49,-296.2,-218.9,1,beta,184.7616521,1.287588419,,,,,,
5.505,165,-204.6,15.74,93,-84.41,2,beta,313.9996537,2.188237185,,,,,,
5.505,165,-247.5,4.292,-281.8,-81.55,1,beta ,92.44100261,0.6442135747,,,,,,
6.405,192,-259,35.77,-256.1,138.8,2,alpha,103.0708053,0.7182917757,,,,,,
6.405,192,-287.6,50.07,-447.8,138.8,2,beta,183.131245,1.276226249,,,,,,
6.907,207,-244.6,35.77,-227.5,273.3,1,beta,238.1447268,1.659610578,,,,,,
8.173,245,-233.2,27.18,-236.1,64.38,1,beta,37.31286641,0.2600302287,,,,,,
8.173,245,-213.2,-4.292,-187.4,-24.32,1,beta,32.66130408,0.2276138819,,,,,,
8.173,245,-227.5,1.431,-210.3,-41.49,1,beta,46.23907699,0.3222362397,,,,,,
9.642,289,-230.3,47.21,-121.6,261.8,3,alpha,240.5505313,1.676376427,,,,,,
10.042,301,-224.6,-7.154,-147.4,-304.7,1,beta,307.3978889,2.142230042,,,,,,
10.042,301,-221.8,35.77,-184.6,279,1,beta,246.0582714,1.714759404,,,,,,
10.81,324,-213.2,21.46,-164.5,-12.88,1,beta,59.5896434,0.4152752145,,,,,,
11.477,344,-227.5,24.32,-81.55,167.4,2,alpha,204.3851484,1.424342915,,,,,,
12.243,367,-216,-10.01,-190.3,-101.6,1,beta,95.12737829,0.6629347009,,,,,,
12.243,367,-207.5,18.6,4.292,127.3,1,beta,238.0578528,1.65900516,,,,,,
12.612,378,-213.2,-4.292,-115.9,-301.9,1,beta,313.1099035,2.182036591,,,,,,
13.278,398,-213.2,32.91,93,4.292,3,alpha,307.534437,2.143181634,,,,,,
13.278,398,-247.5,47.21,-284.7,287.6,2,beta,243.2512941,1.695197816,,,,,,
13.278,398,-253.2,10.01,-459.3,-64.38,1,beta,219.1143129,1.526989223,,,,,,
13.278,398,-207.5,1.431,-161.7,-58.66,1,beta,75.55506787,0.5265369153,,,,,,
14.813,444,-236.1,32.91,-230.3,273.3,1,,240.4599595,1.675745239,,,,,,
